Bill Short Title,Status,Sponsor,Date
Betting Tax and Other Legislation Amendment Bill 2022,PASSED,Hon C Dick MP,10/11/2022
Betting Tax and Other Legislation Amendment Bill 2022,Assent,Hon C Dick MP,21/11/2022
"Births, Deaths and Marriages Registration Bill 2022",Introduced,Hon S Fentiman MP,2/12/2022
"Births, Deaths and Marriages Registration Bill 2022",PASSED,Hon S Fentiman MP,14/6/2023
"Births, Deaths and Marriages Registration Bill 2022",Assent,Hon S Fentiman MP,23/6/2023
Building and Other Legislation Amendment Bill 2022,Introduced,Hon M de Brenni MP,29/3/2022
Building and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon M de Brenni MP,25/5/2022
Building and Other Legislation Amendment Bill 2022,Assent,Hon M de Brenni MP,10/6/2022
Building Units and Group Titles and Other Legislation Amendment Bill 2022,Introduced,Hon S Fentiman MP,21/6/2022
Building Units and Group Titles and Other Legislation Amendment Bill 2022,PASSED,Hon S Fentiman MP,8/11/2022
Building Units and Group Titles and Other Legislation Amendment Bill 2022,Assent,Hon S Fentiman MP,21/11/2022
Casino Control and Other Legislation Amendment Bill 2022,Introduced,Hon G Grace MP,26/5/2022
